run_start_time,steps_exercise,fitbit_distance,calories,fitbit_elev_gain,avg_speed,pace,duration,active_duration,avg_hr,date
15:02:09,3016.0,2.12755,265,87.998688,7.336379310344827,490.7052713214731,17.4,17.4,169.0,2018-03-05
16:17:09,3024.0,2.134329,262,95.0,7.283018388625592,494.3005506648693,17.583333333333332,17.583333333333332,168.0,2018-03-06
22:21:07,3055.0,2.161421,259,97.998688,7.361509555345316,489.0301334168587,17.616666666666667,17.616666666666667,168.0,2018-03-07
15:00:58,3044.0,2.149777,296,101.000656,7.146073130193905,503.7731820556272,18.05,18.05,172.0,2018-03-19
21:10:42,3272.0,2.30643,294,106.000656,7.232707317073172,497.73892986130073,19.133333333333333,19.133333333333333,171.0,2018-03-21
15:13:50,4039.0,2.831961,377,102.998688,7.099623676880223,507.06912983618065,23.933333333333334,23.933333333333334,175.0,2018-03-22
13:42:02,3106.0,2.197591,281,102.998688,7.325303333333334,491.44722562114606,18.0,18.0,173.0,2018-03-23
14:56:38,2803.0,1.984635,247,71.000656,7.335406570841889,490.770343161337,16.233333333333334,16.233333333333334,167.0,2018-03-26
20:54:06,2951.0,2.083402,265,91.000656,7.274730552861299,494.8636892928009,17.183333333333334,17.183333333333334,165.0,2018-03-28
15:21:50,3037.0,2.152169,274,92.998688,7.227433208955225,498.1021471826794,17.866666666666667,17.866666666666667,168.0,2018-03-29
21:41:43,98.0,0.061671,9,0.0,3.580896774193548,1005.3347602600899,1.0833333333333333,1.0333333333333334,120.0,2018-04-04
21:42:54,3051.0,2.152026,278,100.0,7.350373434535104,489.7710343648264,17.566666666666666,17.566666666666666,172.0,2018-04-04
14:11:59,3044.0,2.150976,281,96.000656,7.346787096774193,490.0101163378857,17.566666666666666,17.566666666666666,174.0,2018-04-06
13:50:25,3016.0,2.125642,268,98.999344,7.3018236641221375,493.02751827447895,17.466666666666665,17.466666666666665,173.0,2018-04-09
21:01:41,2524.0,1.78661,236,70.0,7.392868965517241,486.95574299931155,14.5,14.5,172.0,2018-04-11
15:16:29,3087.0,2.182566,282,95.0,7.32268182665424,491.62316282760753,17.883333333333333,17.883333333333333,171.0,2018-04-12
13:59:40,3042.0,2.151075,283,97.998688,7.333210227272727,490.9173320316586,17.6,17.6,173.0,2018-04-13
15:22:14,3064.0,2.160955,266,103.999344,7.297784240150094,493.30041578838984,17.766666666666666,17.766666666666666,173.0,2018-04-16
21:04:26,3023.0,2.141668,265,105.0,7.349861582459487,489.8051425337634,17.533333333333335,17.483333333333334,171.0,2018-04-18
15:48:17,2643.0,1.863418,235,60.0,7.355597368421052,489.42319973296384,15.2,15.2,172.0,2018-04-19
14:36:46,2904.0,2.059398,269,92.998688,7.304268768472906,492.8624772870519,16.916666666666668,16.916666666666668,173.0,2018-04-23
15:34:19,3033.0,2.148528,264,92.001312,7.296887547169812,493.3610360209408,17.666666666666668,17.666666666666668,171.0,2018-04-24
15:26:28,3050.0,2.160421,277,102.998688,7.379047058823528,487.8678739005037,17.566666666666666,17.566666666666666,169.0,2018-04-26
22:12:41,2805.0,2.050252,259,77.998688,7.508552594099695,479.45325745323015,16.416666666666668,16.383333333333333,168.0,2018-04-29
15:10:20,3022.0,2.155077,263,125.0,7.339902743614002,490.46971407518157,17.666666666666668,17.616666666666667,170.0,2018-04-30
15:26:24,3021.0,2.173463,266,96.000656,7.305757983193278,492.7620115916397,18.1,17.85,162.0,2018-05-01
20:44:43,2498.0,1.791904,220,60.0,7.372405028571428,488.3074093254996,15.516666666666667,14.583333333333334,163.0,2018-05-02
14:52:28,3064.0,2.208925,272,91.000656,7.404217877094971,486.20935522935366,17.9,17.9,166.0,2018-05-03
12:06:11,2179.0,1.563295,173,42.998688,7.356682352941177,489.3510182019388,12.75,12.75,155.0,2018-05-04
13:35:01,3008.0,2.200344,224,72.998688,7.735584374999999,465.38177666764835,23.9,17.066666666666666,154.0,2019-09-06
21:54:19,2818.0,2.029001,243,80.0,7.5225577754891875,478.5606315620347,23.5,16.183333333333334,159.0,2019-09-09
15:19:08,2930.0,2.162098,232,77.998688,7.768016766467066,463.4387525449818,24.216666666666665,16.7,158.0,2019-09-10
13:10:14,3018.0,2.204724,246,103.999344,7.728341187925998,465.8179436519038,22.2,17.116666666666667,160.0,2019-09-11
15:41:08,2887.0,2.084247,242,72.001312,7.579079999999999,474.9916876454662,26.033333333333335,16.5,157.0,2019-09-12
22:16:15,2712.0,1.952926,211,97.998688,7.551593555316863,476.7205721056507,20.016666666666666,15.516666666666667,154.0,2019-09-13
14:59:41,2749.0,2.055353,212,70.0,7.821639323467231,460.26157064017707,22.4,15.766666666666667,155.0,2019-09-16
15:14:58,3529.0,2.59914,282,66.000656,7.745781456953642,464.7691159383489,31.7,20.133333333333333,157.0,2019-09-17
13:46:19,3384.0,2.421968,282,108.999344,7.529434196891192,478.12357553857026,27.016666666666666,19.3,156.0,2019-09-18
15:49:05,3337.0,2.416233,265,110.0,7.630209473684211,471.80880320730654,27.416666666666668,19.0,162.0,2019-09-19
13:40:16,2611.0,1.898525,205,76.000656,7.653628219484882,470.3651518942337,21.6,14.883333333333333,162.0,2019-09-20
14:39:53,3145.0,2.330409,267,105.0,7.696763669724771,467.7290552860035,22.766666666666666,18.166666666666668,163.0,2019-09-24
17:07:00,3132.0,2.279606,250,103.999344,7.612784415584414,472.88873603596414,21.433333333333334,17.966666666666665,155.0,2019-09-25
16:47:30,3005.0,2.187935,238,105.0,7.744902654867257,464.82185256874635,23.916666666666668,16.95,164.0,2019-09-26
14:17:46,2761.0,2.050674,234,72.001312,7.820366949152541,460.3364552337427,21.016666666666666,15.733333333333333,164.0,2019-09-27
14:04:06,3024.0,2.227187,222,101.000656,7.807081986368061,461.1197892229077,21.916666666666668,17.116666666666667,166.0,2019-09-30
14:59:10,3109.0,2.35921,249,96.000656,8.111896848137535,443.79262549751826,21.85,17.45,162.0,2019-10-01
13:55:22,3122.0,2.260834,248,102.001312,7.700096877956481,467.52658532205373,22.366666666666667,17.616666666666667,160.0,2019-10-02
14:47:13,3065.0,2.270695,238,112.001313,7.852547550432276,458.44994594166104,21.5,17.35,166.0,2019-10-03
13:35:02,2974.0,2.200344,233,92.001312,7.897545762711864,455.83781445083133,21.85,16.716666666666665,162.0,2019-10-04
13:46:13,3074.0,2.282539,272,91.000656,7.939266086956522,453.44241653702306,24.25,17.25,157.0,2019-10-07
14:41:17,3076.0,2.321704,262,80.0,8.059917454194792,446.65469844562443,24.316666666666666,17.283333333333335,161.0,2019-10-08
14:11:03,2829.0,2.084502,221,100.0,7.825033576642336,460.0619236633018,19.933333333333334,15.983333333333333,161.0,2019-10-09
14:01:50,3169.0,2.329825,278,128.999344,7.816747437092264,460.54961209532905,21.783333333333335,17.883333333333333,158.0,2019-10-10
13:50:33,2946.0,2.239931,237,93.999344,8.211559674134419,438.4063616245322,20.65,16.366666666666667,166.0,2019-10-11
14:24:57,2912.0,2.189053,248,93.999344,7.9682414560161785,451.79353811899483,23.9,16.483333333333334,162.0,2019-10-14
14:08:47,3074.0,2.311091,266,101.000656,7.976920038350911,451.30200411840127,21.183333333333334,17.383333333333333,160.0,2019-10-15
13:10:21,3087.0,2.321785,252,103.999344,8.09925,444.4856005185665,27.2,17.2,163.0,2019-10-16
15:53:18,3032.0,2.292617,249,112.998688,8.123446062992127,443.16167942573924,20.75,16.933333333333334,160.0,2019-10-17
13:35:04,3011.0,2.299602,234,103.999344,8.2785672,434.8578580119516,21.05,16.666666666666668,164.0,2019-10-18
13:57:34,2863.0,2.179745,229,83.999344,8.114872802481901,443.6298741366536,21.6,16.116666666666667,157.0,2019-10-23
13:19:18,2822.0,2.191228,234,97.001312,8.38301891604676,429.4395653943816,21.266666666666666,15.683333333333334,158.0,2019-10-24
22:52:25,3182.0,2.293127,290,100.0,7.331489520426288,491.03255074838853,18.766666666666666,18.766666666666666,167.0,2018-05-06
15:28:29,2930.0,2.114377,256,143.999344,7.304949328214971,492.8165601498692,17.85,17.366666666666667,166.0,2018-05-07
15:08:29,3070.0,2.208148,285,157.998688,7.259664657534247,495.8906739946779,19.083333333333332,18.25,164.0,2018-05-08
18:04:20,3056.0,2.198138,273,157.998688,7.279941858325667,494.50944390206615,19.0,18.116666666666667,165.0,2018-05-09
15:34:33,3514.0,2.519766,320,187.998688,7.159556116811366,502.82446862129257,21.116666666666667,21.116666666666667,166.0,2018-05-10
16:23:21,3154.0,2.269297,268,170.0,7.294168928571428,493.54491721445015,19.516666666666666,18.666666666666668,160.0,2018-05-11
16:13:31,3433.0,2.471212,309,175.0,7.274213573180703,494.8988593451311,21.25,20.383333333333333,168.0,2018-05-14
16:27:22,3624.0,2.612499,332,178.999344,7.31337200622084,492.24899224841806,22.233333333333334,21.433333333333334,165.0,2018-05-15
15:07:38,4354.0,3.12802,404,178.999344,7.158850603941512,502.8740225446129,28.283333333333335,26.216666666666665,170.0,2018-05-16
16:35:24,4063.0,2.915039,364,167.998688,7.227369421487604,498.10654334298783,26.316666666666666,24.2,165.0,2018-05-17
16:05:43,4365.0,3.135184,394,176.000656,7.2304051249199235,497.8974120817151,28.25,26.016666666666666,167.0,2018-05-18
15:47:09,4701.0,3.370317,419,182.001313,7.265354011976048,495.50235185592334,30.166666666666668,27.833333333333332,164.0,2018-05-21
15:51:18,4532.0,3.251437,402,180.0,7.225415555555555,498.241239181322,29.6,27.0,166.0,2018-05-22
15:55:44,4845.0,3.481673,469,177.001313,7.249290225563909,496.60034127271575,31.35,28.816666666666666,166.0,2018-05-23
18:05:09,3563.0,2.549138,314,143.999344,7.163853864168619,502.5228135942424,24.416666666666668,21.35,166.0,2018-05-24
17:19:03,3504.0,2.508973,306,167.001313,7.22006618705036,498.6103875968374,23.9,20.85,162.0,2018-05-25
13:59:49,3880.0,2.784178,362,172.998688,7.236852563176894,497.4538265872369,27.066666666666666,23.083333333333332,168.0,2018-05-31
14:14:50,4198.0,2.99683,408,178.999344,7.1732632978723405,501.8636359086101,28.316666666666666,25.066666666666666,166.0,2018-06-01
16:29:09,4687.0,3.375947,437,188.999344,7.3037314903846156,492.8987333035738,29.033333333333335,27.733333333333334,166.0,2018-06-04
14:27:09,2489.0,1.792202,222,128.999344,7.348436446469249,489.9001340250708,14.683333333333334,14.633333333333333,168.0,2018-06-06
14:41:59,1820.0,1.28978,192,48.999344,7.110578866768759,506.287894059452,17.733333333333334,10.883333333333333,172.0,2018-06-06
14:59:52,59.0,0.034349,14,0.0,3.988916129032258,902.500800605549,0.5166666666666667,0.5166666666666667,169.0,2018-06-06
22:31:14,4418.0,3.154155,418,172.001313,7.195790874524714,500.2924713592072,30.966666666666665,26.3,163.0,2018-06-07
23:41:08,4613.0,3.318849,433,178.999344,7.210534942667471,499.269475652553,30.65,27.616666666666667,165.0,2018-06-08
16:03:14,4377.0,3.1464,418,178.999344,7.260923076923076,495.8047292143402,30.033333333333335,26.0,165.0,2018-06-09
20:57:08,4571.0,3.265312,389,172.998688,7.211732024539878,499.18660146411736,35.2,27.166666666666668,153.0,2018-06-10
15:31:10,4237.0,3.029309,351,167.001313,7.2461876411960136,496.81296955840423,28.983333333333334,25.083333333333332,158.0,2018-06-11
13:55:41,3152.0,2.272404,292,120.0,7.369958918918918,488.46947989882085,19.7,18.5,165.0,2018-06-13
14:37:05,4352.0,3.107061,372,162.001313,7.286918306188925,494.03600379908863,30.233333333333334,25.583333333333332,162.0,2018-06-14
18:00:41,4110.0,2.927087,366,117.001313,7.232335758407688,497.7645010209809,28.766666666666666,24.283333333333335,154.0,2018-06-15
15:45:06,2598.0,1.839768,191,42.001312,7.230529257641923,497.88886424810084,19.866666666666667,15.266666666666667,148.0,2018-07-20
22:38:44,2307.0,1.660111,223,87.998688,7.297191208791208,493.3405055445088,14.7,13.65,171.0,2018-07-25
18:13:22,2867.0,2.041235,264,135.0,7.211428851815505,499.2075875634114,20.883333333333333,16.983333333333334,169.0,2018-07-27
22:43:51,3208.0,2.289299,292,117.998688,7.274030361871139,494.91132438357766,22.466666666666665,18.883333333333333,170.0,2018-07-31
18:43:12,3326.0,2.363093,311,122.998688,7.191153677092139,500.61508370597346,24.15,19.716666666666665,169.0,2018-08-01
23:06:24,3546.0,2.535487,322,130.0,7.27891004784689,494.5795423127786,24.55,20.9,175.0,2018-08-03
12:45:11,3632.0,2.592292,305,126.000656,7.064535352006056,509.5876544771962,27.616666666666667,22.016666666666666,161.0,2018-08-06
13:55:45,3523.0,2.523606,310,135.0,7.250583878691141,496.51173756917683,25.683333333333334,20.883333333333333,162.0,2018-08-07
13:53:08,3502.0,2.508072,323,148.999344,7.2873762711864405,494.00495679549874,26.55,20.65,166.0,2018-08-09
16:05:22,3225.0,2.297725,312,116.000656,7.211691368788142,499.1894156176218,25.233333333333334,19.116666666666667,171.0,2018-08-10
16:13:13,3422.0,2.433401,313,145.0,7.204147697368421,499.7121312927874,25.783333333333335,20.266666666666666,165.0,2018-08-13
19:41:23,3218.0,2.295737,319,110.0,7.243341980718668,497.0081503238394,25.133333333333333,19.016666666666666,171.0,2018-08-14
18:08:44,2979.0,2.066991,291,101.000656,7.039893661305581,511.3713605913137,23.6,17.616666666666667,164.0,2018-08-15
20:11:39,3141.0,2.243678,293,112.001313,7.257179514824799,496.0604863977808,24.2,18.55,167.0,2018-08-16
18:43:16,2901.0,2.027907,258,110.0,6.8356415730337075,526.6513701072091,24.2,17.8,165.0,2018-08-17
18:12:51,3517.0,2.502939,344,132.001313,7.17402898089172,501.8100720792636,27.083333333333332,20.933333333333334,166.0,2018-08-20
17:35:08,3473.0,2.404588,316,101.000656,7.055025916870416,510.2745251993273,25.9,20.45,167.0,2018-08-21
19:08:42,3536.0,2.524035,323,117.001313,7.2287398568019094,498.01211155946726,26.55,20.95,164.0,2018-08-22
18:13:17,3747.0,2.683093,343,97.001312,7.3230741470811225,491.59682500755656,29.416666666666668,21.983333333333334,166.0,2018-08-23
16:02:17,82.0,0.06512,0,0.0,5.581714285714285,644.9631449631449,0.7666666666666667,0.7,112.0,2018-08-24
16:03:11,3390.0,2.418582,313,138.999344,7.213666280033139,499.0527507440311,25.95,20.116666666666667,166.0,2018-08-24
17:26:31,3315.0,2.31662,314,86.000656,7.103775127768313,506.77279830097297,27.45,19.566666666666666,166.0,2018-08-26
17:35:09,2866.0,2.049997,261,80.0,7.249498231827111,496.58609256501353,20.266666666666666,16.966666666666665,161.0,2018-08-27
13:21:24,3180.0,2.285043,275,117.998688,7.325160106856633,491.45683472914953,24.083333333333332,18.716666666666665,162.0,2018-08-28
15:06:51,3460.0,2.460388,336,125.0,7.2069949552481685,499.5147106879078,27.1,20.483333333333334,164.0,2018-08-29
14:40:39,3571.0,2.539215,324,115.0,7.226224505928855,498.18546283004787,27.2,21.083333333333332,165.0,2018-08-31
16:43:19,3490.0,2.491344,318,81.000656,7.244619063004845,496.9205376696274,26.833333333333332,20.633333333333333,166.0,2018-09-05
19:25:29,3834.0,2.731523,382,116.000656,7.300284187082406,493.13148745223816,31.05,22.45,171.0,2018-09-06
21:10:54,3337.0,2.366697,327,116.000656,7.319681443298969,491.8246822470304,25.1,19.4,168.0,2018-09-07
19:51:09,3558.0,2.532131,329,125.0,7.333605470635559,490.89087412934003,26.1,20.716666666666665,166.0,2018-09-11
